name,method,nRF_distance,b_corr,taxa_count,seq_len,p_corr
JC_high_20_50_ML,ML,0.8889,-0.0007,20.0,67.0,0.0751
JC_high_20_50_NJ,NJ,0.8889,0.124,20.0,67.0,0.0703
JC_high_20_50_UPGMA,UPGMA,0.8889,0.1021,20.0,67.0,0.1039
JC_high_20_500_ML,ML,0.8889,-0.242,20.0,831.0,-0.0377
JC_high_20_500_NJ,NJ,0.8333,0.1891,20.0,831.0,0.0123
JC_high_20_500_UPGMA,UPGMA,0.8889,0.1024,20.0,831.0,-0.0442
JC_high_250_100_ML,ML,0.996,0.0072,250.0,1370.0,0.0082
JC_high_250_100_NJ,NJ,0.996,0.0294,250.0,1370.0,-0.0085
JC_high_250_100_UPGMA,UPGMA,0.996,0.0238,250.0,1370.0,-0.0124
JC_high_35_100_ML,ML,0.9697,0.1703,35.0,209.0,0.0628
JC_high_35_100_NJ,NJ,0.9697,0.0124,35.0,209.0,-0.01
JC_high_35_100_UPGMA,UPGMA,0.9697,0.0457,35.0,209.0,-0.0718
JC_high_35_1000_ML,ML,0.9697,0.3102,35.0,2073.0,-0.0022
JC_high_35_1000_NJ,NJ,0.9697,0.3511,35.0,2073.0,-0.0258
JC_high_35_1000_UPGMA,UPGMA,0.9697,0.294,35.0,2073.0,0.0014
JC_high_35_2000_ML,ML,0.9697,0.1445,35.0,4062.0,-0.0043
JC_high_35_2000_NJ,NJ,0.9394,0.1576,35.0,4062.0,0.0138
JC_high_35_2000_UPGMA,UPGMA,0.9394,0.1605,35.0,4062.0,0.0107
JC_high_35_250_ML,ML,0.9394,0.346,35.0,559.0,0.0505
JC_high_35_250_NJ,NJ,0.9394,0.1138,35.0,559.0,-0.0113
JC_high_35_250_UPGMA,UPGMA,0.9394,0.1195,35.0,559.0,-0.0325
JC_high_35_50_ML,ML,0.9697,0.0442,35.0,94.0,-0.0779
JC_high_35_50_NJ,NJ,0.9697,-0.2309,35.0,94.0,0.0021
JC_high_35_50_UPGMA,UPGMA,0.9697,-0.1438,35.0,94.0,0.0209
JC_high_35_500_ML,ML,0.9697,0.407,35.0,989.0,0.0122
JC_high_35_500_NJ,NJ,0.9697,0.0992,35.0,989.0,0.0275
JC_high_35_500_UPGMA,UPGMA,0.9697,0.0565,35.0,989.0,0.0384
JC_high_50_100_ML,ML,0.9792,0.113,50.0,285.0,0.0011
JC_high_50_100_MP,MP,0.9792,-0.2402,50.0,285.0,0.001
JC_high_50_100_NJ,NJ,0.9792,-0.2402,50.0,285.0,0.001
JC_high_50_100_UPGMA,UPGMA,0.9792,-0.2075,50.0,285.0,0.0286
JC_high_50_1000_ML,ML,0.9792,-0.0699,50.0,2409.0,0.0288
JC_high_50_1000_MP,MP,0.9583,0.0915,50.0,2409.0,0.0064
JC_high_50_1000_NJ,NJ,0.9583,0.0915,50.0,2409.0,0.0064
JC_high_50_1000_UPGMA,UPGMA,0.9583,0.0945,50.0,2409.0,-0.0162
JC_high_50_250_ML,ML,0.9792,0.0174,50.0,584.0,-0.0134
JC_high_50_250_MP,MP,0.9583,0.0478,50.0,584.0,0.0141
JC_high_50_250_NJ,NJ,0.9583,0.0478,50.0,584.0,0.0141
JC_high_50_250_UPGMA,UPGMA,0.9583,0.055,50.0,584.0,-0.0131
JC_high_50_50_ML,ML,0.9792,-0.016,50.0,174.0,0.0166
JC_high_50_50_MP,MP,0.9792,0.0904,50.0,174.0,0.0016
JC_high_50_50_NJ,NJ,0.9792,0.0904,50.0,174.0,0.0016
JC_high_50_50_UPGMA,UPGMA,0.9792,0.2142,50.0,174.0,0.0147
JC_high_50_500_ML,ML,0.9792,0.0462,50.0,1217.0,0.0274
